# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
LAKE POWELL,AZ,36.93808333,-111.4836667,US/Mountain,,,,0,,,,reservoir,,UC,lakepowell,3700
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-18 00:00:00,12113400,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-17 00:00:00,12132900,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-16 00:00:00,12131900,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-15 00:00:00,12137800,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-14 00:00:00,12143600,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-13 00:00:00,12157300,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-12 00:00:00,12170000,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-11 00:00:00,12176800,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-10 00:00:00,12193500,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-09 00:00:00,12201300,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-08 00:00:00,12206200,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-07 00:00:00,12215000,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-06 00:00:00,12225800,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-05 00:00:00,12236500,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-04 00:00:00,12247300,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-03 00:00:00,12256200,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-02 00:00:00,12267900,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-02-01 00:00:00,12273800,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-31 00:00:00,12280700,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-30 00:00:00,12286600,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-29 00:00:00,12297400,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-28 00:00:00,12308200,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-27 00:00:00,12317100,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-26 00:00:00,12325000,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-25 00:00:00,12335800,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-24 00:00:00,12346700,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-23 00:00:00,12355600,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-22 00:00:00,12367400,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-21 00:00:00,12375300,Acre feet
LAKE POWELL,lakepowell,Reservoir Storage,2020-01-20 00:00:00,12388100,Acre feet
