DAY,STATION,DATE,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-AVG-NORMAL
1,USW00023062,1804-01-01,43.9,16.7,30.3
2,USW00023062,1804-01-02,44.0,16.7,30.4
3,USW00023062,1804-01-03,44.1,16.8,30.5
4,USW00023062,1804-01-04,44.2,16.9,30.6
5,USW00023062,1804-01-05,44.3,17.0,30.7
6,USW00023062,1804-01-06,44.4,17.0,30.7
7,USW00023062,1804-01-07,44.5,17.1,30.8
8,USW00023062,1804-01-08,44.5,17.2,30.9
9,USW00023062,1804-01-09,44.6,17.2,30.9
10,USW00023062,1804-01-10,44.6,17.3,31.0
11,USW00023062,1804-01-11,44.7,17.3,31.0
12,USW00023062,1804-01-12,44.7,17.4,31.1
13,USW00023062,1804-01-13,44.7,17.4,31.1
14,USW00023062,1804-01-14,44.7,17.5,31.1
15,USW00023062,1804-01-15,44.7,17.5,31.1
16,USW00023062,1804-01-16,44.7,17.5,31.1
17,USW00023062,1804-01-17,44.7,17.5,31.1
18,USW00023062,1804-01-18,44.7,17.6,31.2
19,USW00023062,1804-01-19,44.7,17.6,31.2
20,USW00023062,1804-01-20,44.7,17.6,31.2
21,USW00023062,1804-01-21,44.6,17.6,31.1
22,USW00023062,1804-01-22,44.6,17.6,31.1
23,USW00023062,1804-01-23,44.6,17.6,31.1
24,USW00023062,1804-01-24,44.5,17.7,31.1
25,USW00023062,1804-01-25,44.5,17.7,31.1
26,USW00023062,1804-01-26,44.5,17.7,31.1
27,USW00023062,1804-01-27,44.4,17.7,31.1
28,USW00023062,1804-01-28,44.4,17.7,31.1
29,USW00023062,1804-01-29,44.4,17.8,31.1
30,USW00023062,1804-01-30,44.4,17.8,31.1
31,USW00023062,1804-01-31,44.4,17.8,31.1
32,USW00023062,1804-02-01,44.4,17.9,31.2
33,USW00023062,1804-02-02,44.4,17.9,31.2
34,USW00023062,1804-02-03,44.4,18.0,31.2
35,USW00023062,1804-02-04,44.5,18.0,31.3
36,USW00023062,1804-02-05,44.5,18.1,31.3
37,USW00023062,1804-02-06,44.6,18.2,31.4
38,USW00023062,1804-02-07,44.7,18.3,31.5
39,USW00023062,1804-02-08,44.7,18.4,31.6
40,USW00023062,1804-02-09,44.9,18.5,31.7
41,USW00023062,1804-02-10,45.0,18.6,31.8
42,USW00023062,1804-02-11,45.1,18.8,32.0
43,USW00023062,1804-02-12,45.3,18.9,32.1
44,USW00023062,1804-02-13,45.4,19.1,32.3
45,USW00023062,1804-02-14,45.6,19.2,32.4
46,USW00023062,1804-02-15,45.8,19.4,32.6
47,USW00023062,1804-02-16,46.0,19.6,32.8
48,USW00023062,1804-02-17,46.2,19.8,33.0
49,USW00023062,1804-02-18,46.4,20.0,33.2
50,USW00023062,1804-02-19,46.7,20.2,33.5
51,USW00023062,1804-02-20,46.9,20.4,33.7
52,USW00023062,1804-02-21,47.2,20.6,33.9
53,USW00023062,1804-02-22,47.5,20.8,34.2
54,USW00023062,1804-02-23,47.7,21.1,34.4
55,USW00023062,1804-02-24,48.0,21.3,34.7
56,USW00023062,1804-02-25,48.3,21.6,35.0
57,USW00023062,1804-02-26,48.6,21.8,35.2
58,USW00023062,1804-02-27,48.9,22.1,35.5
59,USW00023062,1804-02-28,49.2,22.4,35.8
60,USW00023062,1804-02-29,49.4,22.5,36.0
61,USW00023062,1804-03-01,49.5,22.6,36.1
62,USW00023062,1804-03-02,49.8,22.9,36.4
63,USW00023062,1804-03-03,50.1,23.1,36.6
64,USW00023062,1804-03-04,50.4,23.4,36.9
65,USW00023062,1804-03-05,50.8,23.7,37.3
66,USW00023062,1804-03-06,51.1,23.9,37.5
67,USW00023062,1804-03-07,51.4,24.2,37.8
68,USW00023062,1804-03-08,51.6,24.5,38.1
69,USW00023062,1804-03-09,51.9,24.7,38.3
70,USW00023062,1804-03-10,52.2,25.0,38.6
71,USW00023062,1804-03-11,52.5,25.3,38.9
72,USW00023062,1804-03-12,52.8,25.5,39.2
73,USW00023062,1804-03-13,53.0,25.8,39.4
74,USW00023062,1804-03-14,53.3,26.0,39.7
75,USW00023062,1804-03-15,53.6,26.3,40.0
76,USW00023062,1804-03-16,53.8,26.5,40.2
77,USW00023062,1804-03-17,54.1,26.7,40.4
78,USW00023062,1804-03-18,54.3,27.0,40.7
79,USW00023062,1804-03-19,54.5,27.2,40.9
80,USW00023062,1804-03-20,54.7,27.4,41.1
81,USW00023062,1804-03-21,55.0,27.7,41.4
82,USW00023062,1804-03-22,55.2,27.9,41.6
83,USW00023062,1804-03-23,55.4,28.1,41.8
84,USW00023062,1804-03-24,55.6,28.3,42.0
85,USW00023062,1804-03-25,55.8,28.6,42.2
86,USW00023062,1804-03-26,56.0,28.8,42.4
87,USW00023062,1804-03-27,56.2,29.0,42.6
88,USW00023062,1804-03-28,56.4,29.2,42.8
89,USW00023062,1804-03-29,56.6,29.5,43.1
90,USW00023062,1804-03-30,56.8,29.7,43.3
91,USW00023062,1804-03-31,57.0,29.9,43.5
92,USW00023062,1804-04-01,57.2,30.1,43.7
93,USW00023062,1804-04-02,57.4,30.4,43.9
94,USW00023062,1804-04-03,57.6,30.6,44.1
95,USW00023062,1804-04-04,57.8,30.8,44.3
96,USW00023062,1804-04-05,58.1,31.1,44.6
97,USW00023062,1804-04-06,58.3,31.3,44.8
98,USW00023062,1804-04-07,58.5,31.6,45.1
99,USW00023062,1804-04-08,58.7,31.8,45.3
100,USW00023062,1804-04-09,59.0,32.1,45.6
101,USW00023062,1804-04-10,59.2,32.4,45.8
102,USW00023062,1804-04-11,59.5,32.6,46.1
103,USW00023062,1804-04-12,59.7,32.9,46.3
104,USW00023062,1804-04-13,60.0,33.2,46.6
105,USW00023062,1804-04-14,60.3,33.5,46.9
106,USW00023062,1804-04-15,60.5,33.8,47.2
107,USW00023062,1804-04-16,60.8,34.1,47.5
108,USW00023062,1804-04-17,61.1,34.4,47.8
109,USW00023062,1804-04-18,61.4,34.7,48.1
110,USW00023062,1804-04-19,61.7,35.0,48.4
111,USW00023062,1804-04-20,62.0,35.3,48.7
112,USW00023062,1804-04-21,62.3,35.6,49.0
113,USW00023062,1804-04-22,62.7,36.0,49.4
114,USW00023062,1804-04-23,63.0,36.3,49.7
115,USW00023062,1804-04-24,63.3,36.6,50.0
